LAPTOP-8HN0P3PM	1691482984	1691483022	PvZ_1.2.0.1073	08/08/23 16:24:52	AdventureFirst	L1-1	Won				4	LFK	3	-	0	-	0	-	0	-	0	-	0	-	0	-	0	-	0	-	0	68	3	103	3	94	3	0	0	0	0	0	75	$0	$0	99.94	99.60	Hardware	Full-Screen	1	0	1_53433	0	0	0	0	
LAPTOP-8HN0P3PM	1691482984	1691483094	PvZ_1.2.0.1073	08/08/23 16:27:28	AdventureFirst	L1-2	Won				6	LFK	8	Âu	11	-	0	-	0	-	0	-	0	-	0	-	0	-	0	-	0	154	0	258	3	249	3	11	1	0	0	0	150	$0	$0	99.97	99.69	Hardware	Full-Screen	8	0	1_53433	0	0	0	0	
LAPTOP-8HN0P3PM	1691482984	1691483249	PvZ_1.2.0.1073	08/08/23 16:30:25	AdventureFirst	L1-3	Won				8	LFK	7	Âu	7	1C∏9	1	-	0	-	0	-	0	-	0	-	0	-	0	-	0	176	1	435	4	426	4	7	0	0	0	0	150	$0	$0	100.01	99.99	Hardware	Full-Screen	2	0	1_53433	0	0	0	0	
LAPTOP-8HN0P3PM	1691482984	1691483426	PvZ_1.2.0.1073	08/08/23 16:34:16	AdventureFirst	L1-4	Won				10	LFK	14	Âu	19	1C∏9	1	Zúô	5	-	0	-	0	-	0	-	0	-	0	-	0	229	0	665	4	656	4	19	1	0	0	0	150	$0	$0	100.00	99.99	Hardware	Full-Screen	6	0	1_53433	0	0	0	0	
LAPTOP-8HN0P3PM	1691482984	1691483657	PvZ_1.2.0.1073	08/08/23 16:37:36	AdventureFirst	L1-5	Won				8	-	0	-	0	-	0	-	0	-	0	-	0	-	0	-	0	-	0	-	0	199	0	865	4	856	4	0	0	3	0	0	50	$0	$0	100.00	99.99	Hardware	Full-Screen	60	0	1_53433	0	0	0	0	
LAPTOP-8HN0P3PM	1691482984	1691483857	PvZ_1.2.0.1073	08/08/23 16:41:26	AdventureFirst	L1-6	Won				10	LFK	14	Âu	20	1C∏9	2	Zúô	4	F˜	5	-	0	-	0	-	0	-	0	-	0	229	0	1095	4	1086	4	19	2	3	0	0	350	$0	$0	100.00	99.89	Hardware	Full-Screen	15	0	1_53433	0	0	0	0	
LAPTOP-8HN0P3PM	1691482984	1691484088	PvZ_1.2.0.1073	08/08/23 16:47:57	AdventureFirst	L1-7	Won				20	LFK	1	Âu	19	1C∏9	2	Zúô	8	F˜	10	“∞K	21	-	0	-	0	-	0	-	0	390	0	1487	4	1478	4	18	3	16	0	0	75	$0	$0	100.00	99.90	Hardware	Full-Screen	10	0	1_53433	0	0	0	0	
LAPTOP-8HN0P3PM	1691482984	1691484479	PvZ_1.2.0.1073	08/08/23 16:52:36	AdventureFirst	L1-8	Won				10	'4±	4	“∞K	10	F˜	6	Zúô	5	1C∏9	1	Âu	15	-	0	-	0	-	0	-	0	277	0	1765	4	1756	4	15	0	1	0	0	175	$0	$0	100.00	99.99	Hardware	Full-Screen	4	0	1_53433	0	0	0	0	
LAPTOP-8HN0P3PM	1691482984	1691484783	PvZ_1.2.0.1073	08/08/23 16:59:37	AdventureFirst	L1-9	Won				20	Ã—K	17	Zúô	4	F˜	6	1C∏9	0	Âu	15	'4±	2	-	0	-	0	-	0	-	0	363	31	2144	46	2135	46	15	1	2	0	0	100	$0	$0	100.00	99.99	Hardware	Full-Screen	3	0	1_53433	0	0	0	0	
LAPTOP-8HN0P3PM	1691482984	1691485186	PvZ_1.2.0.1073	08/08/23 17:05:17	AdventureFirst	L1-10	Won				20	'4±	0	“∞K	0	Ã—K	0	Ã—K	0	LFK	0	-	0	-	0	-	0	-	0	-	0	331	0	2484	46	2475	46	0	2	18	0	0	50	$0	$0	100.01	99.99	Hardware	Full-Screen	0	0	1_53433	0	0	0	0	
LAPTOP-8HN0P3PM	1691482984	1691485518	PvZ_1.2.0.1073	08/08/23 17:09:17	AdventureFirst	L2-1	Won				10	Âu	10	∑«	21	F˜	2	Zúô	1	Ã—K	1	LFK	0	-	0	-	0	-	0	-	0	239	0	2724	46	2715	46	10	4	0	0	0	150	$310	$310	99.99	99.70	Hardware	Full-Screen	8	0	1_53433	0	0	0	0	
LAPTOP-8HN0P3PM	1691482984	1691485759	PvZ_1.2.0.1073	08/08/23 17:16:46	AdventureFirst	L2-2	Won				20	LFK	3	3I«	10	∑«	22	Ã—K	6	“∞K	7	F˜	1	-	0	-	0	-	0	-	0	447	0	3173	46	3164	46	10	5	11	0	0	25	$690	$380	100.00	99.99	Hardware	Full-Screen	3	0	1_53433	0	0	0	0	
LAPTOP-8HN0P3PM	1691482984	1691486207	PvZ_1.2.0.1073	08/08/23 17:21:33	AdventureFirst	L2-3	Won				10	'∑«	10	3I«	11	∑«	18	Ã—K	1	Zúô	1	1C∏9	1	-	0	-	0	-	0	-	0	286	0	3460	46	3451	46	11	3	10	0	0	220	$970	$280	100.01	99.99	Hardware	Full-Screen	5	0	1_53433	0	0	0	0	
LAPTOP-8HN0P3PM	1691482984	1691486494	PvZ_1.2.0.1073	08/08/23 17:29:01	AdventureFirst	L2-4	Won				20	ìë‘”	8	1C∏9	1	Ã—K	3	'∑«	15	∑«	38	3I«	13	-	0	-	0	-	0	-	0	447	0	3908	46	3899	46	13	19	10	7	0	670	$1,560	$590	100.00	99.99	Hardware	Full-Screen	3	0	1_53433	0	0	0	0	
LAPTOP-8HN0P3PM	1691482984	1691486945	PvZ_1.2.0.1073	08/08/23 17:31:49	AdventureFirst	L2-5	Won				8	F˜	0	ìë‘”	4	1C∏9	1	-	0	-	0	-	0	-	0	-	0	-	0	-	0	164	0	4076	46	4067	46	0	1	0	3	0	225	$1,980	$420	100.02	99.99	Hardware	Full-Screen	0	0	1_53433	0	0	0	0	
LAPTOP-8HN0P3PM	1691482984	1691487110	PvZ_1.2.0.1073	08/08/23 17:37:20	AdventureFirst	L2-6	Won				10	E—«	4	∑«	24	3I«	15	1C∏9	1	“∞K	2	'∑«	9	-	0	-	0	-	0	-	0	329	0	4407	46	4398	46	11	24	6	0	0	10	$2,260	$280	100.01	99.99	Hardware	Full-Screen	6	0	1_53433	0	0	0	0	
LAPTOP-8HN0P3PM	1691482984	1691487443	PvZ_1.2.0.1073	08/08/23 17:39:32	AdventureFirst	L2-7	Quit				3	∆«	1	∑«	9	E—«	0	ìë‘”	0	1C∏9	0	3I«	4	-	0	-	0	-	0	-	0	125	4	4535	50	4526	50	4	0	0	0	0	15	$2,260	$0	100.00	99.99	Hardware	Full-Screen	3	0	1_53433	0	0	0	0	
LAPTOP-8HN0P3PM	1691492869	1691487443	PvZ_1.2.0.1073	08/08/23 19:12:51	AdventureFirst	L2-7	Won				20	∆«	19	∑«	24	E—«	5	ìë‘”	9	1C∏9	2	3I«	15	-	0	-	0	-	0	-	0	413	5	299	1	4832	51	13	7	18	9	0	460	$2,790	$530	156.25	99.99	Hardware	Full-Screen	3	0	1_53433	0	0	0	0	
LAPTOP-8HN0P3PM	1691492869	1691493178	PvZ_1.2.0.1073	08/08/23 19:17:47	AdventureFirst	L2-8	Won				10	“∞«	1	3I«	10	∑«	22	ìë‘”	7	'∑«	6	Ã—K	1	-	0	-	0	-	0	-	0	289	0	595	1	5128	51	10	1	2	7	0	105	$3,120	$330	99.99	99.69	Hardware	Full-Screen	32	0	1_53433	0	0	0	0	
LAPTOP-8HN0P3PM	1691492869	1691493471	PvZ_1.2.0.1073	08/08/23 19:24:32	AdventureFirst	L2-9	Won				20	∑«	16	3I«	10	'∑«	15	¡m«	1	∆«	10	ìë‘”	8	-	0	-	0	-	0	-	0	373	28	972	29	5505	79	10	0	16	8	0	75	$3,730	$610	99.98	99.79	Hardware	Full-Screen	2	0	1_53433	0	0	0	0	
LAPTOP-8HN0P3PM	1691492869	1691493875	PvZ_1.2.0.1073	08/08/23 19:30:46	AdventureFirst	L2-10	Won				20	E—«	0	E—«	0	∑«	0	-	0	-	0	-	0	-	0	-	0	-	0	-	0	371	1	1345	30	5878	80	0	1	4	13	0	50	$4,570	$840	100.00	99.99	Hardware	Full-Screen	0	0	1_53433	0	0	0	0	
LAPTOP-8HN0P3PM	1691578721	1691578736	PvZ_1.2.0.1073	08/09/23 19:04:51	AdventureFirst	L3-1	Won				10	Ã—K	10	Âu	18	a≤	12	Zúô	1	F˜	4	1C∏9	1	-	0	-	0	-	0	-	0	253	103	264	103	6236	185	18	0	0	0	0	75	$4,880	$310	99.94	98.89	Hardware	Full-Screen	88	0	1_53433	0	0	0	0	
LAPTOP-8HN0P3PM	1691578721	1691579092	PvZ_1.2.0.1073	08/09/23 19:11:08	AdventureFirst	L3-2	Won				20	ù‹	3	a≤	14	Âu	30	Ã—K	19	F˜	7	1C∏9	2	-	0	-	0	-	0	-	0	376	0	641	103	6613	185	27	1	7	0	0	1075	$5,220	$340	99.97	99.19	Hardware	Full-Screen	9	0	1_53433	0	0	0	0	
